Name,Location,Founded,Employees,About,Skills,Link
Autonomize AI - Lead Machine Learning Engineer,Job available in Bangalore,2021,30,Autonomize is a human-centric AI platform that learns from multi-structured clinical and biomedical data and pairs it with human context to aid decision-making and data discovery for better human health outcomes.,"['Machine Learning', 'NLP']",https://www.instahyre.com/job-294458-lead-machine-learning-engineer-at-autonomize-ai-bangalore/
Autonomize AI - SDET,Job available in Bangalore,2021,30,Autonomize is a human-centric AI platform that learns from multi-structured clinical and biomedical data and pairs it with human context to aid decision-making and data discovery for better human health outcomes.,"['Automation Testing', 'Selenium', 'SDET']",https://www.instahyre.com/job-294481-sdet-at-autonomize-ai-bangalore/
Crackle Technologies - Web Engineer,Job available in Delhi,2023,5,"Crackle is a software company based in Singapore, developing technologies that optimize digital advertising, enabling publishers to maximize their earning potential and build sustainable businesses.","['Java', 'Node.js', 'Ruby', 'Data Structures']",https://www.instahyre.com/job-294445-web-engineer-at-crackle-technologies-delhi/
D. E. Shaw - Project Manager,"Job available in Gurgaon, Hyderabad",1988,1000,D. E. Shaw is an investment management firm that develops technology products based around algorithmic trading and mathematical models to exploit market anomalies. Founded by Stanford alumni.,['Big Data'],https://www.instahyre.com/job-294409-project-manager-at-d-e-gurgaon-hyderabad/
Foxtale - Data Analyst,Job available in Mumbai,2021,30,Foxtale is a community-first skincare brand that aims to make skincare accessible to everyone by offering a vast variety of beauty and skin-care products along with exclusive offers and gifting options.,"['Metabase', 'Data Analysis', 'Mixpanel', 'SQL']",https://www.instahyre.com/job-294512-data-analyst-at-foxtale-mumbai/
Hexagon AB - Lead Back End Developer,Job available in Pune,1992,1000,"Hexagon AB is a digital reality solutions provider with expertise in combining sensor, software, and autonomous technologies that help a wide range of verticals to drive productivity across 50+ countries.","['C++', 'AWS', 'Terraform']",https://www.instahyre.com/job-294449-lead-back-end-developer-at-hexagon-ab-pune/
In Time Tec - Data Engineer,Job available in Bangalore,2009,350,"In Time Tec is an IT service management company offering services in the field of software development, DevOps and test automation, technical documentation, data science, cloud computing, and more.","['PySpark', 'Databricks']",https://www.instahyre.com/job-294490-data-engineer-at-in-time-tec-bangalore/
IRIS hightech - Python Developer,Job available in Mumbai,2008,125,"IRIS hightech offers complete solution towards product Design & Development, Simulation, Technical Documentation, product data management, training, and support for industries like Mechanical, Electrical.","['Django', 'Flask', 'MySQL', 'CI - CD']",https://www.instahyre.com/job-294460-python-developer-at-iris-hightech-mumbai/
Krista - Data Engineer,Job available in Pune,2020,125,"Krista is a software firm offering AI integration platform as a service helping top companies like TCS, Cognizant, Wipro etc integrate AI and automations in processes to improve business outcomes.","['EDA', 'NLP', 'Predictive Modelling', 'Data Processing']",https://www.instahyre.com/job-294433-data-engineer-at-krista-pune/
Maersk - Lead ML Engineer,"Job available in Bangalore, Mumbai, Pune",1904,1000,"Maersk is a Danish conglomerate with activities in the transport, logistics and energy sectors. It is the largest container ship and supply vessel operator that builds capabilities in software and analytics.",['Machine Learning'],https://www.instahyre.com/job-294441-lead-ml-engineer-at-maersk-bangalore-mumbai-pune/
